sample_id,total,mean,granular_third_quartile,granular_median,granular_first_quartile,percent_bases_above_15,filename,organism
AN16-06-B_S14,1107850253,238.87,298,229,169,100,AN16-06-B_S14 .csv,anthrax
AN16-06-I_S29,30467023,6.57,10,7,4,5.9,AN16-06-I_S29 ,anthrax
AN16-06-T_S4,22196690,4.79,7,5,3,2.7,AN16-06-T_S4 ,anthrax
AN16-120-S_S23,629093268,135.64,166,130,100,100,AN16-120-S_S23 ,anthrax
AN16-130-S_S36,8299541,1.79,3,2,1,0.8,AN16-130-S_S36 ,anthrax
AN16-130-T_S25,436005000,94.01,121,88,62,99.6,AN16-130-T_S25 ,anthrax
AN16-132-I_S32,194096392,41.85,47,38,30,98.6,AN16-132-I_S32 ,anthrax
AN16-135-2-T_S1,779672837,168.11,204,164,130,100,AN16-135-2-T_S1 ,anthrax
AN16-14-S_S3,900416560,194.15,242,187,139,100,AN16-14-S_S3 ,anthrax
AN16-144-S_S40,346568266,74.73,91,74,58,99.9,AN16-144-S_S40 ,anthrax
AN16-145-B_S1,1026380788,221.31,268,214,169,100,AN16-145-B_S1 ,anthrax
AN16-145-S_S2,1955954348,421.74,500,403,293,100,AN16-145-S_S2 ,anthrax
AN16-149-1-T_S26,71677,0.02,1,1,1,0,AN16-149-1-T_S26 ,anthrax
AN16-149-2-T_S27,1714969017,369.78,458,353,264,100,AN16-149-2-T_S27 ,anthrax
AN16-150-B_S35,200320262,43.19,54,43,34,98.8,AN16-150-B_S35 ,anthrax
AN16-150-T_S24,5782153,1.25,3,2,1,0.2,AN16-150-T_S24 ,anthrax
AN16-152R-S_S37,223486123,48.19,59,47,37,99.3,AN16-152R-S_S37 ,anthrax
AN16-152R-T_S34,219996766,47.44,60,46,34,98.1,AN16-152R-T_S34 ,anthrax
AN16-165-B_S12,5689180,1.23,1,1,1,0.4,AN16-165-B_S12 ,anthrax
AN16-165-S_S22,2084186520,449.39,500,432,331,100,AN16-165-S_S22 ,anthrax
AN16-171-T_S45,1733387,0.37,1,1,1,0.1,AN16-171-T_S45 ,anthrax
AN16-174-T_S28,403173094,86.93,106,85,66,99.9,AN16-174-T_S28 ,anthrax
AN16-175-T_S3,20720004,4.47,7,5,3,0.3,AN16-175-T_S3 ,anthrax
AN16-90-S_S33,73875153,15.93,21,16,12,55.3,AN16-90-S_S33 ,anthrax
AN17-01-B_S15,36841819,7.94,11,8,6,8.5,AN17-01-B_S15 ,anthrax
AN17-01-T_S5,385576417,83.14,104,81,61,99.7,AN17-01-T_S5 ,anthrax
AN17-18-B_S13,360923454,77.82,96,75,57,99.8,AN17-18-B_S13 ,anthrax
AN17-183_S18,95393320,20.57,25,18,13,60.3,AN17-183_S18 ,anthrax
AN17-186_S9,242353650,52.26,65,51,39,99.4,AN17-186_S9 ,anthrax
AN17-187_S19,109345258,23.58,30,23,18,83.8,AN17-187_S19 ,anthrax
AN17-189_S20,270024921,58.22,71,55,43,99.7,AN17-189_S20 ,anthrax
AN17-190_S22,525590584,113.33,135,109,87,100,AN17-190_S22 ,anthrax
AN17-191_S1,115944323,25,33,24,17,81.3,AN17-191_S1 ,anthrax
AN17-194_S1,101036630,21.79,26,17,12,58.1,AN17-194_S1 ,anthrax
AN17-196_S11,194322200,41.9,53,40,30,97.3,AN17-196_S11 ,anthrax
AN17-197_S30,381496877,82.26,100,80,63,99.9,AN17-197_S30 ,anthrax
AN17-20-S_S41,136190091,29.36,36,29,23,92.8,AN17-20-S_S41 ,anthrax
AN17-200_S29,282081751,60.82,75,59,45,99.7,AN17-200_S29 ,anthrax
AN17-212-S_S5,338314890,72.95,93,70,50,99.3,AN17-212-S_S5 ,anthrax
AN17-219_S3,297386661,64.12,79,62,48,99.8,AN17-219_S3 ,anthrax
AN17-22-S_S42,782069,0.17,1,1,1,0.2,AN17-22-S_S42 ,anthrax
AN17-223_S10,218417580,47.09,58,46,35,99.2,AN17-223_S10 ,anthrax
AN17-225_S21,278003864,59.94,73,58,46,99.8,AN17-225_S21 ,anthrax
AN17-228-S_S4,75140546,16.2,21,15,11,49.1,AN17-228-S_S4 ,anthrax
AN17-26-B_S38,294365591,63.47,79,62,48,99.6,AN17-26-B_S38 ,anthrax
AN17-26-S_S39,10268636,2.21,4,3,2,0.4,AN17-26-S_S39 ,anthrax
AN17-269-T_S39,210781826,45.45,57,45,33,98.1,AN17-269-T_S39 ,anthrax
AN17-27-A-S_S6,1346867810,290.41,355,276,210,100,AN17-27-A-S_S6 ,anthrax
AN17-27-A-T_S4,513035877,110.62,149,99,61,98.6,AN17-27-A-T_S4 ,anthrax
AN17-271-T_S37,201237186,43.39,55,42,31,96.8,AN17-271-T_S37 ,anthrax
AN17-277-T_S41,46169613,9.95,14,10,8,16.1,AN17-277-T_S41 ,anthrax
AN17-330-S_S7,1574204,0.34,1,1,1,0.3,AN17-330-S_S7 ,anthrax
AN17-338-S_S6,397533783,85.71,104,84,67,99.9,AN17-338-S_S6 ,anthrax
