sample_id,organism.x,total.x,duplicates,mapped,mean,max_ct,bc_amp_cycles,pooled,cap_lib_conc,amisuccessful,percent_bases_above_15,mapped_in_baited_region,frac_mapped
07B00774_S16,mycoplasma,3910213,10060,17532,0.11,36.72,NA,1,1.08,no,0,11238,0.004483643
08B00436_S7,mycoplasma,3778849,9585,14936,0.08,35.96,NA,1,0.734,no,0,10390,0.003952526
08B02193_S8,mycoplasma,3726766,11459,18773,0.08,38.16,NA,1,0.734,no,0,11134,0.005037343
08B03746_S9,mycoplasma,2649127,28226,35768,0.16,39.61,NA,1,0.734,no,0.1,32376,0.013501806
08B04270_S10,mycoplasma,2596843,27926,34722,0.22,35.96,NA,1,0.734,no,0,31611,0.013370851
08B05877_S72,mycoplasma,3348896,151810,908060,52.87,26.34,NA,0,1.52,yes,89.2,907419,0.271152045
08B06178_S73,mycoplasma,3986396,202922,1705857,108.76,25.52,NA,0,2.86,yes,92.9,1709021,0.427919605
08B07005_S51,mycoplasma,3031199,38902,125099,5.71,30.92,NA,0,0.52,no,1.7,121622,0.041270468
08B07142_S58,mycoplasma,3430025,282479,1097923,56.12,27.57,NA,0,1.19,yes,89.8,1094942,0.320091836
08B07429_S46,mycoplasma,2934388,27790,125052,6.64,27.05,NA,0,0.995,no,4.8,122019,0.042616041
08B07531_S87,mycoplasma,2930239,498944,1367701,60.96,28.78,NA,0,0.722,yes,90.7,1368058,0.466754077
08B07900_S82,mycoplasma,3344045,320478,1501772,83.78,27.83,NA,0,1.37,yes,90.9,1501704,0.449088454
08B08150_S17,mycoplasma,2628255,20969,30584,0.35,33.75,NA,1,1.08,no,0,26189,0.011636618
08B08223_S59,mycoplasma,2939050,53950,161068,7.25,31.26,NA,0,0.716,no,5.9,157580,0.054802742
09B03105_S60,mycoplasma,3084644,153647,770216,43.89,26.38,NA,0,1.02,yes,87.2,767518,0.249693644
09B03871_S62,mycoplasma,3520187,389530,2447637,148.16,25.27,NA,0,1.54,yes,95.1,2452358,0.695314482
09B04230_S55,mycoplasma,1728087,79108,1381749,90.76,24.45,NA,0,3.34,yes,91.7,1387968,0.799583007
09B04400_S74,mycoplasma,3263838,670832,1729527,75.85,27.8,NA,0,0.662,yes,92.1,1729309,0.529905896
09B04923_S63,mycoplasma,3124570,249989,1566095,94.16,25.64,NA,0,1.95,yes,93,1569074,0.501219368
09B05223_S75,mycoplasma,3395242,50453,429469,27.08,28.01,NA,0,2.24,yes,80.7,427907,0.126491425
09B05312_S56,mycoplasma,2975270,64002,806723,53.13,26.06,NA,0,0.922,yes,86.7,807990,0.271142787
09B05333_S70,mycoplasma,3369259,264966,2007535,123.36,25.27,NA,0,2.42,yes,94.4,2010101,0.595838729
09B05567_S18,mycoplasma,1084569,159168,200488,2.69,32.75,NA,1,1.08,no,0.3,199251,0.184854998
09B05813_S57,mycoplasma,1863585,102392,1511307,100.98,24.85,NA,0,2.9,yes,91.2,1516892,0.810967571
09B06142_S47,mycoplasma,3004699,7996,36078,1.59,31.1,NA,0,0.998,no,0,31944,0.012007193
09B07585_S52,mycoplasma,3287418,197368,498859,20.95,30.18,NA,0,0.488,no,69.2,492950,0.151747968
09B08129_S53,mycoplasma,2510560,116772,344064,15.85,31.14,NA,0,0.552,no,55,338008,0.137046715
09B10127_S48,mycoplasma,2875653,269839,1040109,54.92,28.71,NA,0,0.77,yes,89,1040075,0.361694892
09B10514_S83,mycoplasma,3088196,25002,118117,6.23,32.61,NA,0,1.83,no,2.8,114294,0.038247896
09B11236_S84,mycoplasma,3242544,197518,712302,37.04,29.27,NA,0,1.09,yes,86,710452,0.219673812
09B11424_S49,mycoplasma,2764595,30270,117093,5.77,29.46,NA,0,0.53,no,2.3,113549,0.042354486
09B11840_S79,mycoplasma,2462853,464974,1907509,103.81,27.56,NA,0,0.59,yes,92.8,1908690,0.774511918
09B12007_S65,mycoplasma,4247924,637301,1028265,26.81,30.13,NA,0,0.262,no,78.1,1019109,0.242062947
