locus,Bacto-10,Bacto-11,Bacto-12,Bacto-13,Bacto-14,Bacto-15,Bacto-16,Bacto-17,Bacto-18,Bacto-19,Bacto-1,Bacto-20,Bacto-21,Bacto-22,Bacto-2,Bacto-3,Bacto-4,Bacto-5,Bacto-6,Bacto-7,Bacto-8,Bacto-9,BZA-0866,BZA-1125,BZA-1126,BZA-1172,BZA-1186,C0059,C0101,C0118,C0221,C0417,CulC0615,CulC0620,IND-0376,Lb-C097,Li-CT,R0024-SP,R0025-SP,R0045-SP,R0062-SP,R0063-SP,R0065-SP,R0067-SP,R0070-SP,R0083-SP,R0084-SP,R0088-SP,R0117-SP,R0141-SP,R0168-SP,R0185-SP,R0196-SP,R0206-SP,R0218-SP,R0227-SP,R0235-SP,R0259-SP,R0330-SP,R0338-SP,R0376-SP,R0393-SP,RO148aFL,RO162FL,RO178FL,RO182aFL,RO189aFL,RO189bFL,RO193aFL,RO248bFL
IS711_Brucella_diagnostic,5.969763395282792,5.614593525384255,6.023748630260496,5.880278966847569,6.155738256877155,6.106547165045906,6.689944648249872,5.741670707837699,5.001067052488375,4.205447977051676,0.7781512503836436,2.9698816437465,2.44870631990508,1.146128035678238,0.7781512503836436,0.3010299956639812,0.9542425094393249,0,0.9030899869919435,5.413908020930992,5.973530544282905,5.483959389936311,0,0,2.615950051656401,0,0,0,0,0,1.5797835966168101,0,1.146128035678238,0.9030899869919435,6.299027413921197,0.7781512503836436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6020599913279624,0,0,0,0,0,0,0,0,0.7781512503836436,0,1.792391689498254,0.47712125471966244,0,0,0,0
bsp31_Brucella_diagnostic,5.742736125962536,5.865456954637614,5.706756176026032,5.852475723866747,5.699866331148525,5.744306285632805,6.19512442298668,5.556861897676678,4.5761108941208395,3.8268519478206438,0.7781512503836436,2.6190933306267428,1.8388490907372552,0.9030899869919435,0.3010299956639812,0.8450980400142568,0,0.6020599913279624,0,5.718612947006085,5.742366081336431,5.800010087429078,1,0.9030899869919435,0.9030899869919435,0,1.0791812460476249,0,0,0,0.6020599913279624,0.3010299956639812,0,0,5.816475954520763,0,0,0,0,0.3010299956639812,0,0,0,0,0,0,0,0,0,0,0,0,0.9030899869919435,0.3010299956639812,0,0.7781512503836436,0,0.3010299956639812,0.6020599913279624,0.3010299956639812,0,0,1.1139433523068367,0,0.6020599913279624,0.3010299956639812,0,0,0,0
acnA_MLST_Brucella,5.113331568602685,5.230951900666734,5.039219733857335,5.089138240442948,4.976120618299816,4.840256690706976,5.516808952724774,4.728864893339198,3.8727388274726686,2.9537596917332287,0.3010299956639812,1.724275869600789,0.3010299956639812,0,0,0,0,0,0.3010299956639812,5.139258672355813,5.137847635070581,5.224043331268048,0.7781512503836436,1.2787536009528289,1.568201724066995,0.7781512503836436,1.3979400086720377,0,0,0,0,0,0,0,4.8716663221674414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6020599913279624,1.0791812460476249,0,0.7781512503836436,0,0
aroA_MLST_Brucella,5.257908857839665,5.562528390463187,5.168022859196005,5.358804469525882,5.105707701259436,5.018488291479452,5.6310133201099735,4.964485913636593,3.9809119377768436,3.1702617153949575,0.6020599913279624,2.0253058652647704,0.8450980400142568,0,0,0.6020599913279624,0,0.6020599913279624,0,5.459959113532545,5.272739458354853,5.555847459628645,0,0,0,0,1,1.3010299956639813,0.3010299956639812,0.6020599913279624,1.3010299956639813,1.0791812460476249,0,0,5.139687073211165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3010299956639812,0,0,0.8450980400142568,0,0.6020599913279624,0,0,0,0,0
caiA_MLST_Brucella,5.197743558683228,5.575838798557256,5.081440926705687,5.351993317530349,4.966676641791788,4.98359922743532,5.430458846125273,4.991722128838262,3.9036325160842376,3.3001605369513523,0.3010299956639812,1.9777236052888478,0,0,0.3010299956639812,0.7781512503836436,0,0.3010299956639812,0,5.474184200883969,5.20899730587708,5.566142755514669,0,0,0,0.3010299956639812,0.3010299956639812,0.7781512503836436,0,0.6020599913279624,0,0,0,0,5.065893279374618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7781512503836436,0,0,0,0,0,0,0.3010299956639812
cobQ_MLST_Brucella,5.3266430361026345,5.798384049056745,5.2256477960551555,5.565174612782397,5.18632617975138,5.334932015889982,5.746938409826716,5.184069348295802,4.02234587626988,3.485011214578573,0.7781512503836436,2.0969100130080562,1.414973347970818,0,0.3010299956639812,0.7781512503836436,0,0.47712125471966244,0.3010299956639812,5.711628414699862,5.338576007749808,5.803429117774639,1.7481880270062005,1.9731278535996986,1.954242509439325,1.9344984512435677,0.6020599913279624,0,0,0,1.3222192947339193,0,0,0,5.395448712315872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3010299956639812,1.2041199826559248,0,1,0,0,0,0.3010299956639812,0,0,0,0,0,0,0,0.3010299956639812,0,0
csdb_MLST_Brucella,5.326075615992876,5.61655007800287,5.2641517089334995,5.549660340527671,5.220019127047445,5.377018326249765,5.820462877317513,5.127117762185704,4.056942945672877,3.2810333672477277,0.3010299956639812,2.0569048513364727,0.6020599913279624,1,0,0.8450980400142568,0.47712125471966244,0.3010299956639812,0,5.484244303059,5.34244044705125,5.579608700732167,1.0791812460476249,0,0,0,0,0,0,0,1.0791812460476249,0,0,0,5.557501186704973,0,0,0,0,0,0,0,0.3010299956639812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3010299956639812,0
ddlA_MLST_Brucella,5.49350963347215,5.9661595736593975,5.441237825533911,5.831853144129216,5.444243151330277,5.758872546864771,5.99593251871609,5.403055286275397,4.226006694729179,3.6724673130680823,0.7781512503836436,2.3483048630481607,1.4913616938342726,0.6020599913279624,0.47712125471966244,0.7781512503836436,0,0.6020599913279624,0,5.851347645164062,5.496965607274063,5.942983746527989,0,0,0,0,0.3010299956639812,0,0,0,1.1760912590556813,0,0,0,5.828401433754651,0,0,0,0,0.6020599913279624,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.3010299956639812,0,0,0,0,0,0,0,0,0,0.3010299956639812,0,0,0,0
dnaK_MLST_Brucella,5.049423488412396,5.19685846700859,4.981093423145929,5.012373167222489,4.928339513233456,4.610830441265715,5.436680945704574,4.673361938712162,3.821382499747299,2.90687353472207,0.3010299956639812,1.8512583487190752,1.5314789170422551,0,1.6127838567197355,0,0,0,0.3010299956639812,5.1058234450373865,5.0633971658994295,5.193633760604114,1.2304489213782739,0.7781512503836436,0.6989700043360189,0,1.9731278535996986,0,0,0,0,0.3010299956639812,0,0,4.743541120598766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.146128035678238,0.7781512503836436,0,0.6020599913279624,0,1.2304489213782739
fbaA_MLST_Brucella,5.149311505907915,5.324033333470101,5.075776821160732,5.180490024958778,5.022844731297986,4.871683829923626,5.448434221058055,4.849818511005542,3.889917683436206,2.929418925714293,0,1.7708520116421442,0.6020599913279624,0,0,0.7781512503836436,0,0,0.3010299956639812,5.204779067034706,5.164769103009198,5.293453161410607,0,0,1.2041199826559248,0,0.6020599913279624,0,0,0,0,0,0,0,5.0646563715614805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6020599913279624,0,0,0,0,0
