sample_id,total,secondary,supplementary,duplicates,mapped,paired,read1,read2,properly_paired,with_itself_and_mate_mapped,singletons,mate_on_diff_chr,mate_on_diff_chrover5,
BZA-0866_S31,8773218,0,0,3090,3720,8773218,4386609,4386609,3614,3614,106,0,0,
BZA-1125_S66,7225183,0,591,176045,205259,7224592,3612296,3612296,192440,194190,10478,0,0,
BZA-1126_S33,6787900,0,0,2818,3402,6787900,3393950,3393950,3018,3046,356,0,0,
BZA-1172_S28,7910366,0,0,2306,2947,7910366,3955183,3955183,2916,2916,31,0,0,
BZA-1186_S29,8609654,0,0,2208,3217,8609654,4304827,4304827,3052,3052,165,0,0,
Bacto-10_S10,10896009,0,8091,1932780,3791741,10887918,5443959,5443959,3359762,3384492,399158,74,74,
Bacto-11_S11,16388438,0,22902,6799914,8229363,16365536,8182768,8182768,7756498,7821094,385367,544,544,
Bacto-12_S12,9691103,0,6637,2072353,3163590,9684466,4842233,4842233,2810872,2828432,328521,36,36,
Bacto-13_S13,12610353,0,17905,5253181,5437034,12592448,6296224,6296224,5222812,5253938,165191,98,98,
Bacto-14_S14,8997516,0,8456,2616338,2792299,8989060,4494530,4494530,2637408,2650982,132861,0,0,
Bacto-15_S15,8276051,0,11529,3008006,3027754,8264522,4132261,4132261,2961754,2973354,42871,0,0,
Bacto-16_S1,30851532,0,16476,9710968,9738973,30835056,15417528,15417528,9408228,9443530,278967,0,0,
Bacto-17_S17,9751395,0,815,1874257,2258522,9750580,4875290,4875290,1863538,1867502,390205,12,12,
Bacto-18_S18,8857070,0,48,93187,203206,8857022,4428511,4428511,153016,153282,49876,2,2,
Bacto-19_S19,7140727,0,29,34391,38351,7140698,3570349,3570349,32394,32544,5778,0,0,
Bacto-1_S1,9751436,0,22380,3301798,3353885,9729056,4864528,4864528,3081336,3164878,166627,0,0,
Bacto-20_S20,8651111,0,5,684,2186,8651106,4325553,4325553,1630,1640,541,0,0,
Bacto-21_S21,6688956,0,0,486,623,6688956,3344478,3344478,476,492,131,0,0,
Bacto-22_S22,7560640,0,0,11,36,7560640,3780320,3780320,0,22,14,0,0,
Bacto-2_S2,6190337,0,19011,2224007,2270888,6171326,3085663,3085663,2046030,2081108,170769,0,0,
Bacto-3_S3,5845695,0,1,1536,1977,5845694,2922847,2922847,1106,1144,832,2,2,
Bacto-4_S4,5864468,0,0,9,67,5864468,2932234,2932234,0,20,47,0,0,
Bacto-5_S5,13999104,0,60,879899,1289365,13999044,6999522,6999522,1164282,1165690,123615,0,0,
Bacto-6_S6,9532335,0,25,379699,692969,9532310,4766155,4766155,602834,603336,89608,0,0,
Bacto-7_S7,12796244,0,19552,4172718,6564936,12776692,6388346,6388346,6127682,6197020,348364,592,592,
Bacto-8_S8,11446663,0,8615,1990991,3925911,11438048,5719024,5719024,3476970,3502826,414470,68,68,
Bacto-9_S9,15405385,0,21463,5450361,8018368,15383922,7691961,7691961,7514630,7586860,410045,720,720,
C0059_S57,11557353,0,281,157352,168981,11557072,5778536,5778536,157408,158644,10056,0,0,
C0101_S58,12021092,0,0,180,192,12021092,6010546,6010546,0,114,78,0,0,
C0118_S59,11634004,0,0,5281,6379,11634004,5817002,5817002,5720,5726,653,0,0,
C0221_S60,11660229,0,7,2225,3501,11660222,5830111,5830111,3332,3346,148,0,0,
C0417_S61,11334058,0,30,15029,18180,11334028,5667014,5667014,17168,17184,966,0,0,
CulC0615_S62,14931241,0,15,837499,1236698,14931226,7465613,7465613,1143444,1145170,91513,0,0,
CulC0620_S63,13499458,0,26,733658,1108232,13499432,6749716,6749716,1020896,1021862,86344,2,2,
IND-0376_S67,11314710,0,282640,2724006,4029036,11032070,5516035,5516035,3546924,3556542,189854,232,232,
Lb-C097_S64,14191673,0,75,882590,1143386,14191598,7095799,7095799,1025930,1027108,116203,0,0,
Li-CT_S65,15056340,0,5190,2039946,2983739,15051150,7525575,7525575,2830798,2848348,130201,6,6,
R0024-SP_S38,6730894,0,0,7283,8745,6730894,3365447,3365447,4052,4240,4505,28,28,
R0025-SP_S52,6368976,0,0,1,6,6368976,3184488,3184488,0,4,2,0,0,
R0045-SP_S55,11904477,0,9,3709,4172,11904468,5952234,5952234,1992,2144,2019,16,16,
R0062-SP_S39,8335268,0,0,0,0,8335268,4167634,4167634,0,0,0,0,0,
R0063-SP_S40,7225960,0,0,179,215,7225960,3612980,3612980,20,144,71,0,0,
R0065-SP_S41,7129470,0,0,50,58,7129470,3564735,3564735,0,4,54,0,0,
R0067-SP_S22,496008,0,0,0,0,496008,248004,248004,0,0,0,0,0,
R0070-SP_S54,8620102,0,0,50,97,8620102,4310051,4310051,0,64,33,8,8,
R0083-SP_S23,6944864,0,0,27,30,6944864,3472432,3472432,0,0,30,0,0,
R0084-SP_S42,9309622,0,0,0,1,9309622,4654811,4654811,0,0,1,0,0,
R0088-SP_S43,7329278,0,0,859,1129,7329278,3664639,3664639,548,610,519,0,0,
R0117-SP_S49,8887810,0,0,124,151,8887810,4443905,4443905,0,40,111,0,0,
R0141-SP_S26,5794674,0,0,1943,2297,5794674,2897337,2897337,1068,1130,1167,0,0,
R0168-SP_S44,7402218,0,0,57,71,7402218,3701109,3701109,0,48,23,0,0,
R0185-SP_S56,6718144,0,0,2074,2516,6718144,3359072,3359072,1396,1400,1116,0,0,
R0196-SP_S47,7669710,0,0,5635,6818,7669710,3834855,3834855,3866,3900,2918,20,20,
R0206-SP_S51,6991808,0,0,4918,5929,6991808,3495904,3495904,3400,3422,2507,2,2,
R0218-SP_S50,7132820,0,0,161,208,7132820,3566410,3566410,0,58,150,0,0,
R0227-SP_S27,5956224,0,0,2523,3340,5956224,2978112,2978112,3004,3004,336,0,0,
R0235-SP_S53,6583456,0,0,47,71,6583456,3291728,3291728,0,30,41,0,0,
