organism,bioproject,ena-sample_accession,study,sample_id
mycoplasma,PRJEB50216,ERS9968694,ERP134774,07B00774_S16
mycoplasma,PRJEB50216,ERS9968695,ERP134774,08B00436_S7
mycoplasma,PRJEB50216,ERS9968696,ERP134774,08B02193_S8
mycoplasma,PRJEB50216,ERS9968697,ERP134774,08B03746_S9
mycoplasma,PRJEB50216,ERS9968698,ERP134774,08B04270_S10
mycoplasma,PRJEB50216,ERS9968699,ERP134774,08B05877_S72
mycoplasma,PRJEB50216,ERS9968700,ERP134774,08B06178_S73
mycoplasma,PRJEB50216,ERS9968701,ERP134774,08B07005_S51
mycoplasma,PRJEB50216,ERS9968702,ERP134774,08B07142_S58
mycoplasma,PRJEB50216,ERS9968703,ERP134774,08B07429_S46
mycoplasma,PRJEB50216,ERS9968704,ERP134774,08B07531_S87
mycoplasma,PRJEB50216,ERS9968705,ERP134774,08B07900_S82
mycoplasma,PRJEB50216,ERS9968706,ERP134774,08B08150_S17
mycoplasma,PRJEB50216,ERS9968707,ERP134774,08B08223_S59
mycoplasma,PRJEB50216,ERS9968708,ERP134774,09B03105_S60
mycoplasma,PRJEB50216,ERS9968709,ERP134774,09B03871_S62
mycoplasma,PRJEB50216,ERS9968710,ERP134774,09B04230_S55
mycoplasma,PRJEB50216,ERS9968711,ERP134774,09B04400_S74
mycoplasma,PRJEB50216,ERS9968712,ERP134774,09B04923_S63
mycoplasma,PRJEB50216,ERS9968713,ERP134774,09B05223_S75
mycoplasma,PRJEB50216,ERS9968714,ERP134774,09B05312_S56
mycoplasma,PRJEB50216,ERS9968715,ERP134774,09B05333_S70
mycoplasma,PRJEB50216,ERS9968716,ERP134774,09B05567_S18
mycoplasma,PRJEB50216,ERS9968717,ERP134774,09B05813_S57
mycoplasma,PRJEB50216,ERS9968718,ERP134774,09B06142_S47
mycoplasma,PRJEB50216,ERS9968719,ERP134774,09B07585_S52
mycoplasma,PRJEB50216,ERS9968720,ERP134774,09B08129_S53
mycoplasma,PRJEB50216,ERS9968721,ERP134774,09B10127_S48
mycoplasma,PRJEB50216,ERS9968722,ERP134774,09B10514_S83
mycoplasma,PRJEB50216,ERS9968723,ERP134774,09B11236_S84
mycoplasma,PRJEB50216,ERS9968724,ERP134774,09B11424_S49
mycoplasma,PRJEB50216,ERS9968725,ERP134774,09B11840_S79
mycoplasma,PRJEB50216,ERS9968726,ERP134774,09B12007_S65
mycoplasma,PRJEB50216,ERS9968727,ERP134774,09B12477_S80
mycoplasma,PRJEB50216,ERS9968728,ERP134774,09B13235_S19
mycoplasma,PRJEB50216,ERS9968729,ERP134774,09B13397_S66
mycoplasma,PRJEB50216,ERS9968730,ERP134774,09B13724_S67
mycoplasma,PRJEB50216,ERS9968731,ERP134774,10B00844_S54
mycoplasma,PRJEB50216,ERS9968732,ERP134774,10B00921_S50
mycoplasma,PRJEB50216,ERS9968733,ERP134774,10B01749_S64
mycoplasma,PRJEB50216,ERS9968734,ERP134774,10B02215_S61
mycoplasma,PRJEB50216,ERS9968735,ERP134774,10B03149_S85
mycoplasma,PRJEB50216,ERS9968736,ERP134774,10B03341_S71
mycoplasma,PRJEB50216,ERS9968737,ERP134774,10B03623_S86
mycoplasma,PRJEB50216,ERS9968738,ERP134774,10B04567_S81
mycoplasma,PRJEB50216,ERS9968739,ERP134774,10B04745_S88
mycoplasma,PRJEB50216,ERS9968740,ERP134774,10B05371_S68
mycoplasma,PRJEB50216,ERS9968741,ERP134774,10B05468_S69
mycoplasma,PRJEB50216,ERS9968742,ERP134774,10B06036_S76
mycoplasma,PRJEB50216,ERS9968743,ERP134774,10B06532_S77
mycoplasma,PRJEB50216,ERS9968744,ERP134774,10B06604_S78
mycoplasma,PRJEB50216,ERS9968745,ERP134774,10B07249_S89
mycoplasma,PRJEB50216,ERS9968746,ERP134774,16P00665_S90
mycoplasma,PRJEB50216,ERS9968747,ERP134774,16P00684_S91
mycoplasma,PRJEB50216,ERS9968748,ERP134774,17P00199_S92
mycoplasma,PRJEB50216,ERS9968749,ERP134774,17P00326_S93
