organism,project,ena-sample_accession,study,sample_id,pooled,Number,ari_study,study_code,date,extraction,udg_PCR_run1,udg_PCR_run2,udg_PCR_run3_interp,udg_PCR_run1_interp,extraction.1,udg_PCR_run2_interp,udg_PCR_run3,qubit_HS_ngul,dilution_for_qubit,init_lib_conc,cap_lib_conc,Lib,max_ct
mycoplasma,PRJEB50086,ERS9968694,ERP134774,07B00774_S16,1,NA,ARI study,ARI-0024,07-Dec-07,Promega,36.35,36.72,NA,Undertermined,Same,Undertermined,NA,3.26,1_3,36.3,1.08,Mam_Lib_3,36.72
mycoplasma,PRJEB50087,ERS9968695,ERP134774,08B00436_S7,1,NA,ARI study,ARI-0247,28-Jan-08,Promega,35.96,0,NA,Undertermined,Same,Neg,NA,1.21,1_3,25,0.734,Mam_Lib_3,35.96
mycoplasma,PRJEB50088,ERS9968696,ERP134774,08B02193_S8,1,NA,ARI study,ARI-0352,29-Apr-08,Promega,38.16,0,NA,Undertermined,Same,Neg,NA,1.61,1_3,50.4,0.734,Mam_Lib_3,38.16
mycoplasma,PRJEB50089,ERS9968697,ERP134774,08B03746_S9,1,NA,ARI study,ARI-0571,28-Jun-08,Promega,38.17,39.61,NA,Undertermined,Same,Undertermined,NA,0.324,1_3,12.45,0.734,Mam_Lib_3,39.61
mycoplasma,PRJEB50090,ERS9968698,ERP134774,08B04270_S10,1,NA,ARI study,ARI-0600,17-Jul-08,Promega,35.44,35.96,NA,Undertermined,Same,Undertermined,NA,0.962,1_3,30,0.734,Mam_Lib_3,35.96
mycoplasma,PRJEB50091,ERS9968699,ERP134774,08B05877_S72,0,24,ARI study,ARI-0473,02-Sep-08,Promega,25.93,26.34,NA,Pos,Same,Pos,NA,9.22,1_2,39.4,1.52,MAM_Lib_1,26.34
mycoplasma,PRJEB50092,ERS9968700,ERP134774,08B06178_S73,0,25,ARI study,ARI-0473,11-Sep-08,Promega,22.12,25.52,NA,Pos,Same,Pos,NA,6.72,1_2,31.3,2.86,MAM_Lib_1,25.52
mycoplasma,PRJEB50093,ERS9968701,ERP134774,08B07005_S51,0,15,ARI study,ARI-0352,01-Oct-08,Promega,30.92,30.89,NA,Pos,Same,Pos,NA,3.7,1_2,34.3,0.52,MAM_Lib_1,30.92
mycoplasma,PRJEB50094,ERS9968702,ERP134774,08B07142_S58,0,16,ARI study,ARI-0352,04-Oct-08,Promega,24.4,27.57,NA,Pos,Same,Pos,NA,1.62,1_2,35.3,1.19,MAM_Lib_1,27.57
mycoplasma,PRJEB50095,ERS9968703,ERP134774,08B07429_S46,0,2,ARI study,ARI-0024,10-Oct-08,Promega,26.81,27.05,NA,Pos,Same,Pos,NA,39.6,1_2,36.5,0.995,MAM_Lib_1,27.05
