organism.x,sample_id,cap_lib_conc,init_lib_conc,max_ct,bc_amp_cycles,total.x,secondary,supplementary,duplicates,mapped,paired,read1,read2,properly_paired,with_itself_and_mate_mapped,singletons,mate_on_diff_chr,mate_on_diff_chrover5,total.y,mean,granular_third_quartile,granular_median,granular_first_quartile,%_bases_above_15,filename,organism.y,amisuccessful,frac_mapped,frac_duplicates
mycoplasma,07B00774_S16,1.08,36.3,36.72,NA,3910213,0,7,10060,17532,3910206,1955103,1955103,16782,16830,695,0,0,106469,0.11,1,1,1,0.0,07B00774_S16 ,mycoplasma,no,0.00448364321841291,0.0025727498732166254
mycoplasma,08B00436_S7,0.734,25,35.96,NA,3778849,0,73,9585,14936,3778776,1889388,1889388,14334,14398,465,0,0,79675,0.08,1,1,1,0.0,08B00436_S7 ,mycoplasma,no,0.003952526285120152,0.0025364866391856355
mycoplasma,08B02193_S8,0.734,50.4,38.16,NA,3726766,0,18,11459,18773,3726748,1863374,1863374,18560,18604,151,0,0,80962,0.08,1,1,1,0.0,08B02193_S8 ,mycoplasma,no,0.005037343369559559,0.003074783874275981
mycoplasma,08B03746_S9,0.734,12.45,39.61,NA,2649127,0,213,28226,35768,2648914,1324457,1324457,31110,31356,4199,0,0,160473,0.16,1,1,1,0.1,08B03746_S9 ,mycoplasma,no,0.013501806444160661,0.01065483081785056
mycoplasma,08B04270_S10,0.734,30,35.96,NA,2596843,0,311,27926,34722,2596532,1298266,1298266,31888,32824,1587,0,0,216923,0.22,1,1,1,0.0,08B04270_S10 ,mycoplasma,no,0.013370850682925383,0.010753826858227471
mycoplasma,08B05877_S72,1.52,39.4,26.34,NA,3348896,0,19300,151810,908060,3329596,1664798,1664798,874956,883798,4962,0,0,52999795,52.87,72,57,37,89.2,08B05877_S72 ,mycoplasma,yes,0.27115204533075976,0.045331356960622245
mycoplasma,08B06178_S73,2.86,31.3,25.52,NA,3986396,0,10910,202922,1705857,3975486,1987743,1987743,1616624,1685616,9331,0,0,109028860,108.76,146,116,78,92.9,08B06178_S73 ,mycoplasma,yes,0.4279196045751601,0.05090362322257999
mycoplasma,08B07005_S51,0.52,34.3,30.92,NA,3031199,0,1757,38902,125099,3029442,1514721,1514721,121778,122704,638,0,0,5722695,5.71,9,6,4,1.7,08B07005_S51 ,mycoplasma,no,0.04127046756085628,0.012833865411013926
mycoplasma,08B07142_S58,1.19,35.3,27.57,NA,3430025,0,27833,282479,1097923,3402192,1701096,1701096,1054252,1064812,5278,0,0,56259695,56.12,76,60,40,89.8,08B07142_S58 ,mycoplasma,yes,0.3200918360653348,0.08235479333241011
mycoplasma,08B07429_S46,0.995,36.5,27.05,NA,2934388,0,822,27790,125052,2933566,1466783,1466783,119298,123492,738,0,0,6653559,6.64,10,7,4,4.8,08B07429_S46 ,mycoplasma,no,0.04261604123244779,0.009470458576030164
