name,locus,type,species
IS711_Brucella_diagnostic,IS711,diagnostic,Brucella
bsp31_Brucella_diagnostic,bsp31,diagnostic,Brucella
acnA_MLST_Brucella,acnA,MLST,Brucella
aroA_MLST_Brucella,aroA,MLST,Brucella
caiA_MLST_Brucella,caiA,MLST,Brucella
cobQ_MLST_Brucella,cobQ,MLST,Brucella
csdb_MLST_Brucella,csdb,MLST,Brucella
ddlA_MLST_Brucella,ddlA,MLST,Brucella
dnaK_MLST_Brucella,dnaK,MLST,Brucella
fbaA_MLST_Brucella,fbaA,MLST,Brucella
fumC_MLST_Brucella,fumC,MLST,Brucella
gap_MLST_Brucella,gap,MLST,Brucella
glk_MLST_Brucella,glk,MLST,Brucella
gyrB_MLST_Brucella,gyrB,MLST,Brucella
int_hyp_MLST_Brucella,inT_hyp,MLST,Brucella
leuA_MLST_Brucella,leuA,MLST,Brucella
mutL_MLST_Brucella,mutL,MLST,Brucella
mviM_MLST_Brucella,mviM,MLST,Brucella
omp25_MLST_Brucella,omp25,MLST,Brucella
prpE_MLST_Brucella,prpE,MLST,Brucella
putA_MLST_Brucella,putA,MLST,Brucella
soxA_MLST_Brucella,soxA,MLST,Brucella
trpE_MLST_Brucella,trpE,MLST,Brucella
secY_Lepto_diagnostic,secY,diagnostic,Lepto
lfb1_Lepto_diagnostic,lfb1,diagnostic,Lepto
adk_MLST_Lepto,adk,MLST,Lepto
caiB_MLST_Lepto,caiB,MLST,Lepto
glmU_MLST_Lepto,glmU,MLST,Lepto
icdA_MLST_Lepto,icdA,MLST,Lepto
lipL32_MLST_Lepto,lipL32,MLST,Lepto
lipL41_MLST_Lepto,lipL41,MLST,Lepto
mreA_MLST_Lepto,mreA,MLST,Lepto
pfkB_MLST_Lepto,pfkB,MLST,Lepto
pntA_MLST_Lepto,pntA,MLST,Lepto
sucA_MLST_Lepto,sucA,MLST,Lepto
tpiA_MLST_Lepto,tpiA,MLST,Lepto
ssrA_Bartonella_diagnostic,ssrA,diagnostic,Bartonella
bvrR_MLST_Bartonella,bvrR,MLST,Bartonella
batR_MLST_Bartonella,batR,MLST,Bartonella
flaA_MLST_Bartonella,flaA,MLST,Bartonella
ftsZ_H_MLST_Bartonella,ftsZ_H,MLST,Bartonella
ftsZ_B_MLST_Bartonella,ftsZ_B,MLST,Bartonella
gltA_MLST_Bartonella,gltA,MLST,Bartonella
groEL_MLST_Bartonella,groEL,MLST,Bartonella
nlpD_MLST_Bartonella,nlpD,MLST,Bartonella
ribC_H_MLST_Bartonella,ribC_H,MLST,Bartonella
ribC_MLST_Bartonella,ribC,MLST,Bartonella
rnpB_MLST_Bartonella,rnpB,MLST,Bartonella
rpoB_H_MLST_Bartonella,rpoB_H,MLST,Bartonella
Cox18_MST_Coxiella,Cox18,MST,Coxiella
Cox20_MST_Coxiella,Cox20,MST,Coxiella
Cox22_MST_Coxiella,Cox22,MST,Coxiella
Cox2_MST_Coxiella,Cox2,MST,Coxiella
Cox37_MST_Coxiella,Cox37,MST,Coxiella
Cox51_MST_Coxiella,Cox51,MST,Coxiella
Cox56MST_Coxiella,Cox56,MST,Coxiella
Cox57_MST_Coxiella,Cox57,MST,Coxiella
Cox5_MST_Coxiella,Cox5,MST,Coxiella
Cox61_MST_Coxiella,Cox61,MST,Coxiella
*,NA,NA,NA
