Sample,Classification (Genus),% total reads
AN16-06-B_S14,unclassified,5.53
AN16-06-B_S14,Bacillus,93.5
AN16-06-I_S29,unclassified,45.55
AN16-06-I_S29,Bacillus,39.95
AN16-06-I_S29,Lysinibacillus,1.32
AN16-06-I_S29,Vagococcus,1.02
AN16-06-I_S29,Providencia,3.12
AN16-06-I_S29,Psychrobacter,1.97
AN16-06-T_S4,unclassified,15.98
AN16-06-T_S4,Bacillus,77.59
AN16-06-T_S4,Clostridium,1.68
AN16-06-T_S4,Proteus,2.44
AN16-120-S_S23,unclassified,5.5
AN16-120-S_S23,Bacillus,93.82
AN16-130-S_S36,unclassified,72.99
AN16-130-S_S36,Bacillus,5.67
AN16-130-S_S36,Macrococcus,3.82
AN16-130-S_S36,Acinetobacter,5.71
AN16-130-S_S36,Paenalcaligenes,1.49
AN16-130-T_S25,unclassified,8.64
AN16-130-T_S25,Bacillus,90.79
AN16-132-I_S32,unclassified,44.13
AN16-132-I_S32,Bacillus,39.05
AN16-132-I_S32,Lysinibacillus,2.14
AN16-132-I_S32,Staphylococcus,1.06
AN16-132-I_S32,Vagococcus,3.81
AN16-135-2-T_S1,unclassified,13.11
AN16-135-2-T_S1,Bacillus,86.22
AN16-144-S_S40,unclassified,8.12
AN16-144-S_S40,Bacillus,88.9
AN16-144-S_S40,Acinetobacter,1.77
AN16-145-B_S1,unclassified,4.12
AN16-145-B_S1,Bacillus,95.44
