sample_id,total,secondary,supplementary,duplicates,mapped,paired,read1,read2,properly_paired,with_itself_and_mate_mapped,singletons,mate_on_diff_chr,mate_on_diff_chrover5
AN16-06-B_S14,16494712,0,477666,615720,16151277,16017046,8008523,8008523,14344802,15601506,72105,0,0
AN16-06-I_S29,7981644,0,3614,3141259,3594698,7978030,3989015,3989015,3535442,3563014,28070,0,0
AN16-06-T_S4,2002470,0,1202,1331598,1633991,2001268,1000634,1000634,1620164,1622776,10013,0,0
AN16-120-S_S23,9701900,0,638084,329954,9572386,9063816,4531908,4531908,8747334,8889236,45066,0,0
AN16-130-S_S36,5864007,0,7179,521678,681103,5856828,2928414,2928414,517970,521352,152572,0,0
AN16-130-T_S25,7061343,0,315293,423553,6676126,6746050,3373025,3373025,6273556,6294018,66815,0,0
AN16-132-I_S32,9065119,0,3515,1632697,4432180,9061604,4530802,4530802,4127350,4141100,287565,0,0
AN16-135-2-T_S1,12631531,0,94515,630295,11247577,12537016,6268508,6268508,10826834,11106270,46792,0,0
AN16-14-S_S3,13181242,0,14206,850233,12988174,13167036,6583518,6583518,12879650,12923350,50618,0,0
AN16-144-S_S40,6822094,0,170114,1464397,6313639,6651980,3325990,3325990,6101676,6119124,24401,0,0
AN16-145-B_S1,15383559,0,122375,1235115,15249978,15261184,7630592,7630592,14655608,15112960,14643,0,0
AN16-145-S_S2,32244050,0,1247564,2794894,31281918,30996486,15498243,15498243,29339346,29535486,498868,0,0
AN16-149-1-T_S26,63955,0,9,154,1273,63946,31973,31973,1132,1188,76,0,0
AN16-149-2-T_S27,24754236,0,412916,989695,24638184,24341320,12170660,12170660,22576160,24186262,39006,0,0
AN16-150-B_S35,9215161,0,57603,2519344,5272043,9157558,4578779,4578779,4899772,5185272,29168,0,0
AN16-150-T_S24,8871934,0,6248,174070,286033,8865686,4432843,4432843,240554,241908,37877,0,0
AN16-152R-S_S37,6051634,0,179372,872726,4089963,5872262,2936131,2936131,3844440,3864542,46049,0,0
AN16-152R-T_S34,8479266,0,169862,2498929,5641992,8309404,4154702,4154702,5013638,5446606,25524,0,0
AN16-165-B_S12,5616329,0,1003,1113885,1248384,5615326,2807663,2807663,890642,898320,349061,0,0
AN16-165-S_S22,32708157,0,2162857,1498453,32345531,30545300,15272650,15272650,29699008,30077404,105270,0,0
AN16-171-T_S45,4668613,0,1397,147680,182231,4667216,2333608,2333608,166962,169888,10946,0,0
AN16-174-T_S28,7194857,0,20775,583643,6068261,7174082,3587041,3587041,5953770,6036482,11004,0,0
AN16-175-T_S3,539623,0,14949,25083,323916,524674,262337,262337,301726,304744,4223,0,0
AN16-90-S_S33,6925325,0,55699,1709826,2764264,6869626,3434813,3434813,2449818,2675922,32643,0,0
AN17-01-B_S15,6322348,0,10986,227148,739542,6311362,3155681,3155681,692114,725910,2646,0,0
AN17-01-T_S5,6805988,0,4128,651573,5846933,6801860,3400930,3400930,5802776,5814152,28653,0,0
AN17-18-B_S13,8369846,0,108956,1615980,6604212,8260890,4130445,4130445,6045216,6466326,28930,0,0
AN17-183_S18,7038015,0,105721,1679780,3071634,6932294,3466147,3466147,2888344,2925020,40893,0,0
AN17-186_S9,6396386,0,64828,1665448,5006260,6331558,3165779,3165779,4742994,4927398,14034,0,0
AN17-187_S19,2150739,0,83833,100011,1678733,2066906,1033453,1033453,1551160,1575924,18976,0,0
AN17-189_S20,8033531,0,162583,1317313,5144692,7870948,3935474,3935474,4892330,4950774,31335,0,0
AN17-190_S22,8838502,0,281748,655377,8083501,8556754,4278377,4278377,7628792,7745594,56159,0,0
AN17-191_S1,7129812,0,137858,1908307,3604015,6991954,3495977,3495977,3327300,3336340,129817,0,0
AN17-194_S1,2130341,0,4749,146738,1529162,2125592,1062796,1062796,1501214,1511366,13047,0,0
AN17-196_S11,7784683,0,469819,1735010,4833135,7314864,3657432,3657432,4252722,4277286,86030,0,0
