sample_id,carcass_id,sequence_project_id,library_prep_batch,pool,date_collected,species,sample_type,max_ct,ct_1,ct_2,ct_3,sample_conc_ng_ul,neb_protocol,fragmentation_incubation,bc_amp_cycles,init_lib_conc,concentration_of_lib_performed,new_lib_conc_ng_ul,amplification_cycles_bait_capture,cap_lib_conc,cap_lib_reamp,polyomics,organism.x,total.x,duplicates,mapped,X,mean,granular_third_quartile,granular_median,granular_first_quartile,%_bases_above_15,filename,organism.y,amisuccessful,frac_mapped,frac_duplicates,total.y
AN16-135-2-T,AN16-135-2,1447,1,NA,20/10/2016,unknown,tissue,19,19,19,18,13,Chapter 1,8 min,5,18.3,,,12,4,,,anthrax,12631531,630295,11247577,NA,168.11,204,164,130,100.0,AN16-135-2-T_S1 ,anthrax,yes,0.890436559115439,0.04989854357322165,779672837
LNA-1S-T,LNA-1,1447,1,NA,07/10/2016,sheep,tissue,35,32,35,35,15,Chapter 1,8 min,5,0.497,yes,2.44,12,0.3,yes,,anthrax,5830171,3755378,4810614,NA,16.38,23,15,9,47.5,LNA-1S-T_S2 ,anthrax,no,0.8251239972206648,0.6441282768550013,75990451
not-sequenced,LNA-2,not-sequenced,1,NA,07/10/2016,goat,tissue,22,21,20,22,5.7,Chapter 1,8 min,5,0.134,yes,undetectable,12,0.18,yes,no evidence of lib,anthrax,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AN16-14-S,AN16-14,1447,1,NA,16/09/2016,cow,swab,22,21,22,22,3.2,Chapter 1,8 min,5,5.44,yes,14.1,12,4.8,,,anthrax,13181242,850233,12988174,NA,194.15,242,187,139,100.0,AN16-14-S_S3 ,anthrax,yes,0.9853528218357572,0.06450325394223094,900416560
AN16-06-T,AN16-06,1447,1,NA,29/04/2017,sheep,tissue,28,28,27,27,1.4,Chapter 1,8 min,5,0.472,yes,2.12,12,0.16,yes,,anthrax,2002470,1331598,1633991,NA,4.79,7,5,3,2.7,AN16-06-T_S4 ,anthrax,no,0.8159877551224238,0.6649777524756926,22196690
AN17-01-T,AN17-01-A,1447,1,NA,30/04/2017,goat,tissue,24,24,23,24,4,Chapter 1,8 min,5,5.51,yes,17,12,2.28,yes,,anthrax,6805988,651573,5846933,NA,83.14,104,81,61,99.7,AN17-01-T_S5 ,anthrax,yes,0.8590865866939524,0.09573525548384745,385576417
AN16-165-B,AN16-165,1447,1,NA,26/01/2017,sheep,blood,35,33,33,35,1.5,Chapter 1,8 min,5,3.26,yes,5.26,12,0.2,yes,,anthrax,5616329,1113885,1248384,NA,1.23,1,1,1,0.4,AN16-165-B_S12 ,anthrax,no,0.22227757668754805,0.19832972747857186,5689180
AN17-18-B,AN17-18,1447,1,NA,20/02/2017,donkey,blood,28,27,26,28,1.3,Chapter 1,8 min,5,5.15,yes,12.9,12,2.04,yes,,anthrax,8369846,1615980,6604212,NA,77.82,96,75,57,99.8,AN17-18-B_S13 ,anthrax,yes,0.7890482094891591,0.19307165269229565,360923454
not-sequenced,AN16-06,not-sequenced,1,NA,29/04/2017,sheep,swab,28,27,27,28,3.2,Chapter 1,8 min,5,0.507,yes,undetectable,12,0.11,yes,no evidence of lib,anthrax,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
not-sequenced,AN16-132,not-sequenced,1,NA,21/03/2017,cow,tissue,22,21,20,22,1.1,Chapter 1,8 min,5,0.211,yes,undetectable,12,undetectable,yes,no evidence of lib,anthrax,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AN16-06-B,AN16-06,1447,1,NA,29/04/2017,sheep,blood,20,19,18,20,3.1,Chapter 1,8 min,5,6.85,yes,14.2,12,13.2,,,anthrax,16494712,615720,16151277,NA,238.87,298,229,169,100.0,AN16-06-B_S14 ,anthrax,yes,0.9791790847879005,0.03732832679952217,1107850253
AN16-149-2-T,AN16-149-2,1447,1,NA,21/10/2016,cow,tissue,26,26,25,26,23.1,Chapter 1,8 min,5,15.5,,,12,15.9,,,anthrax,24754236,989695,24638184,NA,369.78,458,353,264,100.0,AN16-149-2-T_S27 ,anthrax,yes,0.9953118326899687,0.03998083398736281,1714969017
AN16-165-S,AN16-165,1447,1,NA,26/01/2017,sheep,swab,20,20,20,20,1,Chapter 1,8 min,5,4.24,yes,9.94,12,8.6,,extra reads?,anthrax,32708157,1498453,32345531,NA,449.39,500,432,331,100.0,AN16-165-S_S22 ,anthrax,yes,0.9889132854535339,0.04581282277689935,2084186520
not-sequenced,AN16-120,1447,1,NA,23/07/2016,sheep,swab,20,20,20,20,2.1,Chapter 1,8 min,5,5.27,yes,14.7,12,15.7,,,anthrax,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
