sample_id,total,secondary,supplementary,duplicates,mapped,paired,read1,read2,properly_paired,with_itself_and_mate_mapped,singletons,mate_on_diff_chr,mate_on_diff_chrover5,
07B00774_S16,3910213,0,7,10060,17532,3910206,1955103,1955103,16782,16830,695,0,0,
08B00436_S7,3778849,0,73,9585,14936,3778776,1889388,1889388,14334,14398,465,0,0,
08B02193_S8,3726766,0,18,11459,18773,3726748,1863374,1863374,18560,18604,151,0,0,
08B03746_S9,2649127,0,213,28226,35768,2648914,1324457,1324457,31110,31356,4199,0,0,
08B04270_S10,2596843,0,311,27926,34722,2596532,1298266,1298266,31888,32824,1587,0,0,
08B05877_S72,3348896,0,19300,151810,908060,3329596,1664798,1664798,874956,883798,4962,0,0,
08B06178_S73,3986396,0,10910,202922,1705857,3975486,1987743,1987743,1616624,1685616,9331,0,0,
08B07005_S51,3031199,0,1757,38902,125099,3029442,1514721,1514721,121778,122704,638,0,0,
08B07142_S58,3430025,0,27833,282479,1097923,3402192,1701096,1701096,1054252,1064812,5278,0,0,
08B07429_S46,2934388,0,822,27790,125052,2933566,1466783,1466783,119298,123492,738,0,0,
08B07531_S87,2930239,0,27399,498944,1367701,2902840,1451420,1451420,1321644,1334818,5484,0,0,
08B07900_S82,3344045,0,24229,320478,1501772,3319816,1659908,1659908,1354058,1471342,6201,0,0,
08B08150_S17,2628255,0,427,20969,30584,2627828,1313914,1313914,29688,29840,317,0,0,
08B08223_S59,2939050,0,1410,53950,161068,2937640,1468820,1468820,152268,158732,926,0,0,
09B03105_S60,3084644,0,6080,153647,770216,3078564,1539282,1539282,728318,759868,4268,0,0,
09B03871_S62,3520187,0,19895,389530,2447637,3500292,1750146,1750146,2298044,2415254,12488,0,0,
09B04230_S55,1728087,0,34607,79108,1381749,1693480,846740,846740,1318446,1336968,10174,0,0,
09B04400_S74,3263838,0,12842,670832,1729527,3250996,1625498,1625498,1636304,1710338,6347,0,0,
09B04923_S63,3124570,0,17000,249989,1566095,3107570,1553785,1553785,1439022,1539056,10039,0,0,
09B05223_S75,3395242,0,3360,50453,429469,3391882,1695941,1695941,403738,424174,1935,0,0,
09B05312_S56,2975270,0,3740,64002,806723,2971530,1485765,1485765,777276,796606,6377,0,0,
09B05333_S70,3369259,0,36075,264966,2007535,3333184,1666592,1666592,1933602,1960824,10636,0,0,
09B05567_S18,1084569,0,4051,159168,200488,1080518,540259,540259,194906,196038,399,0,0,
09B05813_S57,1863585,0,10087,102392,1511307,1853498,926749,926749,1437156,1491242,9978,0,0,
09B06142_S47,3004699,0,159,7996,36078,3004540,1502270,1502270,34780,35752,167,0,0,
09B07585_S52,3287418,0,3184,197368,498859,3284234,1642117,1642117,476184,491854,3821,0,0,
09B08129_S53,2510560,0,1182,116772,344064,2509378,1254689,1254689,335726,341118,1764,0,0,
09B10127_S48,2875653,0,10715,269839,1040109,2864938,1432469,1432469,966512,1025164,4230,0,0,
09B10514_S83,3088196,0,1742,25002,118117,3086454,1543227,1543227,114548,115690,685,0,0,
09B11236_S84,3242544,0,4550,197518,712302,3237994,1618997,1618997,675644,705040,2712,0,0,
09B11424_S49,2764595,0,1577,30270,117093,2763018,1381509,1381509,106238,114600,916,0,0,
09B11840_S79,2462853,0,13205,464974,1907509,2449648,1224824,1224824,1809168,1887722,6582,0,0,
09B12007_S65,4247924,0,12146,637301,1028265,4235778,2117889,2117889,953632,1010270,5849,0,0,
09B12477_S80,1990679,0,2781,118479,1664403,1987898,993949,993949,1625278,1642620,19002,0,0,
09B13235_S19,2839243,0,1541,166081,207754,2837702,1418851,1418851,195940,204904,1309,0,0,
09B13397_S66,4182933,0,5375,494531,921188,4177558,2088779,2088779,882734,911626,4187,0,0,
09B13724_S67,2660216,0,5400,95423,252014,2654816,1327408,1327408,241662,244558,2056,0,0,
10B00844_S54,2059195,0,7425,547210,885263,2051770,1025885,1025885,834810,874594,3244,0,0,
10B00921_S50,2832314,0,6508,90061,360525,2825806,1412903,1412903,348836,352058,1959,0,0,
10B01749_S64,2714150,0,3786,449592,963193,2710364,1355182,1355182,935810,956384,3023,0,0,
10B02215_S61,3732845,0,6643,392339,1121101,3726202,1863101,1863101,1074190,1109670,4788,0,0,
10B03149_S85,3220469,0,12999,1342541,1871095,3207470,1603735,1603735,1778824,1852020,6076,0,0,
10B03341_S71,3191491,0,7957,71793,403914,3183534,1591767,1591767,388184,393058,2899,0,0,
10B03623_S86,3060233,0,18899,596192,1953999,3041334,1520667,1520667,1799160,1927138,7962,0,0,
10B04567_S81,2222703,0,2477,88201,253891,2220226,1110113,1110113,233732,244826,6588,0,0,
10B04745_S88,2205202,0,6670,259836,1802829,2198532,1099266,1099266,1736348,1772540,23619,0,0,
10B05371_S68,3945770,0,14846,935244,1724087,3930924,1965462,1965462,1617616,1702316,6925,0,0,
10B05468_S69,3692068,0,11480,524111,3053463,3680588,1840294,1840294,2966054,3030530,11453,0,0,
10B06036_S76,3230388,0,9894,480402,1776104,3220494,1610247,1610247,1698492,1758260,7950,0,0,
10B06532_S77,2488993,0,1949,135050,828513,2487044,1243522,1243522,808586,821344,5220,0,0,
10B06604_S78,3677997,0,353,47485,107538,3677644,1838822,1838822,104508,106614,571,0,0,
10B07249_S89,1820258,0,34,8896,22250,1820224,910112,910112,21706,21870,346,0,0,
16P00665_S90,2818733,0,167,9018,18873,2818566,1409283,1409283,18614,18688,18,0,0,
16P00684_S91,1863475,0,1081,16441,34346,1862394,931197,931197,32540,32902,363,0,0,
17P00199_S92,1753354,0,17772,119101,408393,1735582,867791,867791,383724,389380,1241,0,0,
17P00326_S93,1082454,0,17658,282843,469131,1064796,532398,532398,446584,450676,797,0,0,
