	sample_id	locus	sequence_length	mapped_reads	unmapped_reads
0	Bacto-10_S10.rg	Cox2_MST_Coxiella	356	0	0
1	Bacto-10_S10.rg	Cox5_MST_Coxiella	353	0	0
2	Bacto-10_S10.rg	Cox18_MST_Coxiella	516	4	0
3	Bacto-10_S10.rg	Cox20_MST_Coxiella	585	0	0
4	Bacto-10_S10.rg	Cox22_MST_Coxiella	340	0	0
5	Bacto-10_S10.rg	Cox37_MST_Coxiella	422	0	0
6	Bacto-10_S10.rg	Cox51_MST_Coxiella	634	0	0
7	Bacto-10_S10.rg	Cox56_MST_Coxiella	452	0	0
8	Bacto-10_S10.rg	Cox57_MST_Coxiella	565	0	0
9	Bacto-10_S10.rg	Cox61_MST_Coxiella	569	0	0
10	Bacto-10_S10.rg	acnA_MLST_Brucella	490	128573	11835
11	Bacto-10_S10.rg	adk_MLST_Lepto	430	0	0
12	Bacto-10_S10.rg	aroA_MLST_Brucella	565	183052	18253
13	Bacto-10_S10.rg	batR_1_MLST_Bartonella	487	0	0
14	Bacto-10_S10.rg	bvrR_1_MLST_Bartonella	486	0	0
15	Bacto-10_S10.rg	caiA_MLST_Brucella	449	158278	9467
16	Bacto-10_S10.rg	caiB_MLST_Lepto	402	0	0
17	Bacto-10_S10.rg	cobQ_1_MLST_Brucella	422	209188	36165
18	Bacto-10_S10.rg	csdB_MLST_Brucella	487	211968	20168
19	Bacto-10_S10.rg	ddlA_MLST_Brucella	553	311527	27054
20	Bacto-10_S10.rg	dnaK_MLST_Brucella	470	112104	9869
21	Bacto-10_S10.rg	fbaA_1_MLST_Brucella	458	141105	18437
22	Bacto-10_S10.rg	flaA_MLST_Bartonella	517	0	0
23	Bacto-10_S10.rg	ftsZ_B_1_MLST_Bartonella	497	0	0
24	Bacto-10_S10.rg	ftsZ_H_1_MLST_Bartonella	483	0	0
25	Bacto-10_S10.rg	fumC_MLST_Brucella	452	127248	12384
26	Bacto-10_S10.rg	gap_MLST_Brucella	589	213386	16539
27	Bacto-10_S10.rg	glk_MLST_Brucella	475	165794	12742
28	Bacto-10_S10.rg	glmU_MLST_Lepto	444	0	0
29	Bacto-10_S10.rg	gltA_MLST_Bartonella	338	0	0
30	Bacto-10_S10.rg	groEL_MLST_Bartonella	442	0	0
31	Bacto-10_S10.rg	gyrB_MLST_Brucella	469	168374	15394
32	Bacto-10_S10.rg	icdA_MLST_Lepto	557	0	0
33	Bacto-10_S10.rg	int_hyp_1_MLST_Brucella	430	194966	23177
34	Bacto-10_S10.rg	leuA_MLST_Brucella	482	235040	42276
35	Bacto-10_S10.rg	lipL32_MLST_Lepto	450	0	0
36	Bacto-10_S10.rg	lipL41_MLST_Lepto	493	0	0
37	Bacto-10_S10.rg	mreA_MLST_Lepto	435	0	0
38	Bacto-10_S10.rg	mutL_MLST_Brucella	549	161487	18600
39	Bacto-10_S10.rg	mviM_1_MLST_Brucella	447	128809	14068
40	Bacto-10_S10.rg	nlpD_1_MLST_Bartonella	494	0	0
41	Bacto-10_S10.rg	omp25_MLST_Brucella	490	224919	19512
42	Bacto-10_S10.rg	pfkB__MLST_Lepto	432	0	0
43	Bacto-10_S10.rg	pntA_MLST_Lepto	525	0	0
44	Bacto-10_S10.rg	prpE_MLST_Brucella	468	189019	18882
45	Bacto-10_S10.rg	putA_MLST_Brucella	527	142865	9703
46	Bacto-10_S10.rg	ribC_MLST_Bartonella	349	0	0
47	Bacto-10_S10.rg	rnpB_MLST_Bartonella	297	3206	1774
48	Bacto-10_S10.rg	rpoB_MLST_Bartonella	363	0	0
49	Bacto-10_S10.rg	soxA_1_MLST_Brucella	486	199269	14970
50	Bacto-10_S10.rg	sucA_MLST_Lepto	447	0	0
51	Bacto-10_S10.rg	trpE_MLST_Brucella	486	181560	27889
52	Bacto-10_S10.rg	*	0	0	6705110
0	Bacto-11_S11.rg	Cox2_MST_Coxiella	356	0	0
1	Bacto-11_S11.rg	Cox5_MST_Coxiella	353	0	0
2	Bacto-11_S11.rg	Cox18_MST_Coxiella	516	0	0
3	Bacto-11_S11.rg	Cox20_MST_Coxiella	585	0	0
4	Bacto-11_S11.rg	Cox22_MST_Coxiella	340	0	0
5	Bacto-11_S11.rg	Cox37_MST_Coxiella	422	0	0
6	Bacto-11_S11.rg	Cox51_MST_Coxiella	634	0	0
7	Bacto-11_S11.rg	Cox56_MST_Coxiella	452	0	0
8	Bacto-11_S11.rg	Cox57_MST_Coxiella	565	0	0
9	Bacto-11_S11.rg	Cox61_MST_Coxiella	569	0	0
10	Bacto-11_S11.rg	acnA_MLST_Brucella	490	168974	7357
11	Bacto-11_S11.rg	adk_MLST_Lepto	430	0	0
12	Bacto-11_S11.rg	aroA_MLST_Brucella	565	367177	12993
13	Bacto-11_S11.rg	batR_1_MLST_Bartonella	487	0	0
14	Bacto-11_S11.rg	bvrR_1_MLST_Bartonella	486	0	0
